,,,,,,,,,,,,,,,,,,,t=0 (Prime),t=24 (NMP),t=36,t=48,,,,,,,,,,,,,,,,,,,,,,,,,,
P00558,PGK1,"Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3, Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3",4,1,,,16,1,,,4,1,,,17,4,,,2.53E+06,7.18E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q00839,HNRNPU,"Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6, Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6",3,6,,,13,10,,,3,6,,,7,12,,,2.70E+06,1.73E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UDV7,ZNF282,Zinc finger protein 282 OS=Homo sapiens OX=9606 GN=ZNF282 PE=1 SV=3,1,,,,2,,,,1,,,,2,,,,3.00E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05387,RPLP2,60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1,1,,,,1,,,,1,,,,17,,,,3.12E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y4L1,HYOU1,Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1,1,,,,1,,,,1,,,,2,,,,4.48E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00203,AP3B1,AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,1,,,,1,,,,1,,,,2,,,,4.82E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53S08,RAB6D,Ras-related protein Rab-6D OS=Homo sapiens OX=9606 GN=RAB6D PE=2 SV=1,1,,,,1,,,,1,,,,9,,,,4.89E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05556,ITGB1,Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2,2,,,,2,,,,2,,,,5,,,,5.46E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60610,DIAPH1,Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2,1,,,,1,,,,1,,,,1,,,,5.56E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8NI36,WDR36,WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1,1,,,,1,,,,1,,,,2,,,,5.60E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14204,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,3,,,,3,,,,3,,,,1,,,,5.62E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P82970,HMGN5,High mobility group nucleosome-binding domain-containing protein 5 OS=Homo sapiens OX=9606 GN=HMGN5 PE=1 SV=1,1,,,,2,,,,1,,,,7,,,,5.83E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49915,GMPS,GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=GMPS PE=1 SV=1,1,,,,1,,,,1,,,,2,,,,5.90E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14152,EIF3A,"Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1, Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1",1,1,,,2,1,,,1,1,,,1,1,,,5.94E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75643,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2,1,,,,1,,,,1,,,,1,,,,5.97E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15003,NCAPH,Condensin complex subunit 2 OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=3,1,,,,1,,,,1,,,,3,,,,6.09E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14232,EIF2B1,Translation initiation factor eIF-2B subunit alpha OS=Homo sapiens OX=9606 GN=EIF2B1 PE=1 SV=1,1,,,,1,,,,1,,,,7,,,,6.15E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7L1Q6,BZW1,eIF5-mimic protein 2 OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1,1,,,,2,,,,1,,,,6,,,,6.30E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99623,PHB2,Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2,1,,,,1,,,,1,,,,6,,,,6.45E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62318,SNRPD3,Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1,1,,,,2,,,,1,,,,17,,,,6.53E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O95373,IPO7,Importin-7 OS=Homo sapiens OX=9606 GN=IPO7 PE=1 SV=1,1,,,,1,,,,1,,,,2,,,,6.58E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10515,DLAT,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLAT PE=1 SV=3",1,,,,1,,,,1,,,,2,,,,6.62E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8NE86,MCU,"Calcium uniporter protein, mitochondrial OS=Homo sapiens OX=9606 GN=MCU PE=1 SV=1",1,,,,1,,,,1,,,,5,,,,6.73E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96B26,EXOSC8,Exosome complex component RRP43 OS=Homo sapiens OX=9606 GN=EXOSC8 PE=1 SV=1,1,,,,1,,,,1,,,,7,,,,6.83E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36955,SERPINF1,Pigment epithelium-derived factor OS=Homo sapiens OX=9606 GN=SERPINF1 PE=1 SV=4,1,,,,1,,,,1,,,,3,,,,6.84E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35249,RFC4,Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=2,1,,,,1,,,,1,,,,5,,,,6.90E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43633,CHMP2A,Charged multivesicular body protein 2a OS=Homo sapiens OX=9606 GN=CHMP2A PE=1 SV=1,1,,,,1,,,,1,,,,8,,,,7.06E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P30040,ERP29,Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=4,1,,,,1,,,,1,,,,9,,,,7.08E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75874,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2,2,,,,2,,,,2,,,,9,,,,7.12E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y383,LUC7L2,Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=1 SV=2,1,,,,1,,,,1,,,,4,,,,7.17E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P29144,TPP2,Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4,1,,,,2,,,,1,,,,2,,,,7.22E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49755,TMED10,Transmembrane emp24 domain-containing protein 10 OS=Homo sapiens OX=9606 GN=TMED10 PE=1 SV=2,1,,,,1,,,,1,,,,10,,,,7.29E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O95831,AIFM1,"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1",1,,,,2,,,,1,,,,3,,,,7.32E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49711,CTCF,Transcriptional repressor CTCF OS=Homo sapiens OX=9606 GN=CTCF PE=1 SV=1,1,,,,1,,,,1,,,,3,,,,7.40E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61106,RAB14,Ras-related protein Rab-14 OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=4,1,,,,1,,,,1,,,,7,,,,7.54E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P48637,GSS,Glutathione synthetase OS=Homo sapiens OX=9606 GN=GSS PE=1 SV=1,1,,,,1,,,,1,,,,5,,,,7.59E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3LXA3,TKFC,Triokinase/FMN cyclase OS=Homo sapiens OX=9606 GN=TKFC PE=1 SV=2,2,,,,2,,,,2,,,,7,,,,7.59E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5JPE7,NOMO2,Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1,1,,,,1,,,,1,,,,1,,,,7.60E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7L014,DDX46,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2,1,,,,3,,,,1,,,,2,,,,7.81E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92688,ANP32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens OX=9606 GN=ANP32B PE=1 SV=1,1,,,,1,,,,1,,,,6,,,,8.01E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12268,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2,1,,,,1,,,,1,,,,5,,,,8.09E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31948,STIP1,Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,1,,,,1,,,,1,,,,4,,,,8.32E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62829,RPL23,60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1,1,,,,1,,,,1,,,,11,,,,8.38E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UNX4,WDR3,WD repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=WDR3 PE=1 SV=1,1,,,,1,,,,1,,,,2,,,,8.44E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13243,SRSF5,Serine/arginine-rich splicing factor 5 OS=Homo sapiens OX=9606 GN=SRSF5 PE=1 SV=1,1,,,,1,,,,1,,,,6,,,,8.45E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00299,CLIC1,Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4,1,,,,1,,,,1,,,,11,,,,8.46E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P26641,EEF1G,"Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3, Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3",2,1,,,2,1,,,2,1,,,11,6,,,8.53E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P52209,PGD,"6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens OX=9606 GN=PGD PE=1 SV=3",1,,,,2,,,,1,,,,4,,,,8.58E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14116,IL18,Interleukin-18 OS=Homo sapiens OX=9606 GN=IL18 PE=1 SV=1,1,,,,1,,,,1,,,,9,,,,8.63E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P30043,BLVRB,Flavin reductase (NADPH) OS=Homo sapiens OX=9606 GN=BLVRB PE=1 SV=3,1,,,,1,,,,1,,,,7,,,,8.64E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P37802,TAGLN2,Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3,1,,,,1,,,,1,,,,9,,,,8.90E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23588,EIF4B,Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=2,1,,,,1,,,,1,,,,3,,,,8.91E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75390,CS,"Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2",1,,,,1,,,,1,,,,3,,,,9.04E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12004,PCNA,Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1,1,,,,2,,,,1,,,,9,,,,9.06E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y3F4,STRAP,Serine-threonine kinase receptor-associated protein OS=Homo sapiens OX=9606 GN=STRAP PE=1 SV=1,1,,,,1,,,,1,,,,5,,,,9.07E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y277,VDAC3,Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1,1,,,,3,,,,1,,,,6,,,,9.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13667,PDIA4,Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2,1,,,,2,,,,1,,,,3,,,,9.23E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9ULV4,CORO1C,Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1,1,,,,1,,,,1,,,,3,,,,9.39E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14011,CIRBP,Cold-inducible RNA-binding protein OS=Homo sapiens OX=9606 GN=CIRBP PE=1 SV=1,1,,,,1,,,,1,,,,12,,,,9.52E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15393,SF3B3,"Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4, Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4",1,1,,,2,1,,,1,1,,,2,1,,,9.58E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16836,HADH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=3",1,,,,1,,,,1,,,,8,,,,9.63E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49720,PSMB3,Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2,1,,,,2,,,,1,,,,9,,,,9.72E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8ND56,LSM14A,Protein LSM14 homolog A OS=Homo sapiens OX=9606 GN=LSM14A PE=1 SV=3,1,,,,1,,,,1,,,,4,,,,9.74E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9GZS3,SKIC8,WD repeat-containing protein 61 OS=Homo sapiens OX=9606 GN=WDR61 PE=1 SV=1,1,,,,2,,,,1,,,,6,,,,9.88E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13616,CUL1,Cullin-1 OS=Homo sapiens OX=9606 GN=CUL1 PE=1 SV=2,1,,,,1,,,,1,,,,3,,,,9.93E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18206,VCL,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,1,,,,2,,,,1,,,,2,,,,1.01E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35241,RDX,Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1,2,,,,3,,,,1,,,,6,,,,1.01E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49411,,"Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2",1,,,,3,,,,1,,,,4,,,,1.01E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06744,GPI,Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4,1,,,,1,,,,1,,,,3,,,,1.02E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2A3N6,PIPSL,Putative PIP5K1A and PSMD4-like protein OS=Homo sapiens OX=9606 GN=PIPSL PE=5 SV=1,1,,,,2,,,,1,,,,2,,,,1.02E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04837,SSBP1,"Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SSBP1 PE=1 SV=1",1,,,,1,,,,1,,,,12,,,,1.04E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08727,KRT19,"Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4",5,,,,6,,,,1,,,,16,,,,1.05E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13011,ECH1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens OX=9606 GN=ECH1 PE=1 SV=2",1,,,,1,,,,1,,,,5,,,,1.07E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7KZF4,SND1,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,1,,,,1,,,,1,,,,2,,,,1.08E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P54578,USP14,Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3,1,,,,1,,,,1,,,,3,,,,1.09E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15365,PCBP1,Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2,1,,,,1,,,,1,,,,6,,,,1.09E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49321,NASP,Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2,1,,,,2,,,,1,,,,2,,,,1.09E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P20339,RAB5A,Ras-related protein Rab-5A OS=Homo sapiens OX=9606 GN=RAB5A PE=1 SV=2,2,,,,2,,,,2,,,,20,,,,1.10E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UMS4,PRPF19,Pre-mRNA-processing factor 19 OS=Homo sapiens OX=9606 GN=PRPF19 PE=1 SV=1,1,,,,1,,,,1,,,,5,,,,1.10E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P30050,RPL12,"60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1, 60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1",1,1,,,3,1,,,1,1,,,9,10,,,1.10E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02790,HPX,Hemopexin OS=Homo sapiens OX=9606 GN=HPX PE=1 SV=2,1,,,,1,,,,1,,,,3,,,,1.15E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6ZSG2,INSYN2A,Inhibitory synaptic factor 2A OS=Homo sapiens OX=9606 GN=INSYN2A PE=1 SV=1,1,,,,1,,,,1,,,,4,,,,1.15E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22102,GART,Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,1,,,,2,,,,1,,,,1,,,,1.15E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P56537,EIF6,Eukaryotic translation initiation factor 6 OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1,1,,,,1,,,,1,,,,9,,,,1.15E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P25101,EDNRA,Endothelin-1 receptor OS=Homo sapiens OX=9606 GN=EDNRA PE=1 SV=1,1,,,,2,,,,1,,,,2,,,,1.17E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99567,NUP88,Nuclear pore complex protein Nup88 OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=2,1,,,,1,,,,1,,,,3,,,,1.18E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00232,PSMD12,"26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3, 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3",1,1,,,1,1,,,1,1,,,4,4,,,1.19E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17612,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha OS=Homo sapiens OX=9606 GN=PRKACA PE=1 SV=2,1,,,,1,,,,1,,,,7,,,,1.22E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28074,PSMB5,Proteasome subunit beta type-5 OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=3,2,,,,6,,,,2,,,,14,,,,1.24E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UMR2,DDX19B,ATP-dependent RNA helicase DDX19B OS=Homo sapiens OX=9606 GN=DDX19B PE=1 SV=1,1,,,,1,,,,1,,,,5,,,,1.24E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07020,RPL18,"60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=2, 60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=2",1,1,,,1,1,,,1,1,,,7,7,,,1.25E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06033,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens OX=9606 GN=ITIH3 PE=1 SV=2,1,,,,2,,,,1,,,,1,,,,1.28E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38919,EIF4A3,Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4,1,,,,1,,,,1,,,,7,,,,1.28E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99729,HNRNPAB,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2,1,,,,1,,,,1,,,,6,,,,1.30E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1,1,,,,1,,,,1,,,,5,,,,1.31E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P20700,LMNB1,Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2,1,,,,2,,,,1,,,,3,,,,1.34E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8NBS9,TXNDC5,Thioredoxin domain-containing protein 5 OS=Homo sapiens OX=9606 GN=TXNDC5 PE=1 SV=2,1,,,,2,,,,1,,,,5,,,,1.34E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P52907,CAPZA1,F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,1,,,,1,,,,1,,,,7,,,,1.34E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P55795,HNRNPH2,Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens OX=9606 GN=HNRNPH2 PE=1 SV=1,2,,,,2,,,,1,,,,8,,,,1.35E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P51148,RAB5C,Ras-related protein Rab-5C OS=Homo sapiens OX=9606 GN=RAB5C PE=1 SV=2,2,,,,3,,,,2,,,,20,,,,1.35E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16851,UGP2,UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5,1,,,,1,,,,1,,,,4,,,,1.36E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P63279,UBE2I,SUMO-conjugating enzyme UBC9 OS=Homo sapiens OX=9606 GN=UBE2I PE=1 SV=1,1,,,,2,,,,1,,,,16,,,,1.39E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P34932,HSPA4,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,1,,,,1,,,,1,,,,2,,,,1.39E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09960,LTA4H,Leukotriene A-4 hydrolase OS=Homo sapiens OX=9606 GN=LTA4H PE=1 SV=2,1,,,,2,,,,1,,,,3,,,,1.42E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08758,ANXA5,Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2,2,,,,3,,,,2,,,,13,,,,1.42E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02545,LMNA,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,2,,,,2,,,,2,,,,6,,,,1.43E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P48147,PREP,Prolyl endopeptidase OS=Homo sapiens OX=9606 GN=PREP PE=1 SV=2,1,,,,1,,,,1,,,,3,,,,1.43E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15170,GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1,1,,,,2,,,,1,,,,5,,,,1.45E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31153,MAT2A,S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens OX=9606 GN=MAT2A PE=1 SV=1,1,,,,1,,,,1,,,,5,,,,1.46E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13813,SPTAN1,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",2,,,,3,,,,2,,,,2,,,,1.47E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75367,H2afy; H2AFY; LOC100466888; LOC101338325; LOC101381952; LOC101564704; LOC102987354; LOC103079324; LOC103663804; LOC105869993; LOC106989149; LOC109250833; LOC110591142; LOC111141291; LOC111182462; LOC112404331; LOC112625777; LOC112815157; LOC112861289; LOC112917035; LOC113928700; LOC114891795; LOC115516119; LOC116529369; LOC116750637; MACROH2A1,Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=MACROH2A1 PE=1 SV=4,1,,,,1,,,,1,,,,4,,,,1.48E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6YN16,HSDL2,"Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens OX=9606 GN=HSDL2 PE=1 SV=1, Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens OX=9606 GN=HSDL2 PE=1 SV=1",1,,1,,3,,1,,1,,1,,6,,6,,1.50E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
