Accession,Descriptions,Genes,#.Peptides.QEX3_1226028,#.Peptides.QEX3_1226029,#.Peptides.QEX3_1226030,#.Peptides.QEX3_1226031,#.Peptides.QEX3_1226032,#.Peptides.QEX3_1226033,#.Peptides.QEX3_1226034,#.PSMs.QEX3_1226028,#.PSMs.QEX3_1226029,#.PSMs.QEX3_1226030,#.PSMs.QEX3_1226031,#.PSMs.QEX3_1226032,#.PSMs.QEX3_1226033,#.PSMs.QEX3_1226034,#.Unique.Peptides.QEX3_1226028,#.Unique.Peptides.QEX3_1226029,#.Unique.Peptides.QEX3_1226030,#.Unique.Peptides.QEX3_1226031,#.Unique.Peptides.QEX3_1226032,#.Unique.Peptides.QEX3_1226033,#.Unique.Peptides.QEX3_1226034,%.Coverage.QEX3_1226028,%.Coverage.QEX3_1226029,%.Coverage.QEX3_1226030,%.Coverage.QEX3_1226031,%.Coverage.QEX3_1226032,%.Coverage.QEX3_1226033,%.Coverage.QEX3_1226034,t=0; WTYAP; Abundance.QEX3_1226028,t=24; WTYAP; Abundance.QEX3_1226029,t=36; WTYAP; Abundance.QEX3_1226030,t=48; WTYAP; Abundance.QEX3_1226031,t=0; Y2TAZ; Abundance.QEX3_1226032,t=36; Y2TAZ; Abundance.QEX3_1226033,t=48; Y2TAZ; Abundance.QEX3_1226034,,,,,,
Q14669,"E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens OX=9606 GN=TRIP12 PE=1 SV=1, E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens OX=9606 GN=TRIP12 PE=1 SV=1, E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens OX=9606 GN=TRIP12 PE=1 SV=1",TRIP12,,2,8,6,,,,,2,8,6,,,,,2,8,6,,,,,1,5,4,,,,,20444.46,292724.30,427791.24,,,,,,,,,
Q5RKV6,"Exosome complex component MTR3 OS=Homo sapiens OX=9606 GN=EXOSC6 PE=1 SV=1, Exosome complex component MTR3 OS=Homo sapiens OX=9606 GN=EXOSC6 PE=1 SV=1, Exosome complex component MTR3 OS=Homo sapiens OX=9606 GN=EXOSC6 PE=1 SV=1",EXOSC6,,4,4,4,,,,,4,6,6,,,,,4,4,4,,,,,17,17,16,,,,,195683.22,350089.62,851496.23,,,,,,,,,
Q5T280,"Putative methyltransferase C9orf114 OS=Homo sapiens OX=9606 GN=SPOUT1 PE=1 SV=3, Putative methyltransferase C9orf114 OS=Homo sapiens OX=9606 GN=SPOUT1 PE=1 SV=3, Putative methyltransferase C9orf114 OS=Homo sapiens OX=9606 GN=SPOUT1 PE=1 SV=3, Putative methyltransferase C9orf114 OS=Homo sapiens OX=9606 GN=SPOUT1 PE=1 SV=3",SPOUT1,1,4,6,4,,,,1,4,6,5,,,,1,4,6,4,,,,2,13,21,15,,,,,118866.03,271215.32,533090.33,,,,,,,,,
Q5T749,"Keratinocyte proline-rich protein OS=Homo sapiens OX=9606 GN=KPRP PE=1 SV=1, Keratinocyte proline-rich protein OS=Homo sapiens OX=9606 GN=KPRP PE=1 SV=1, Keratinocyte proline-rich protein OS=Homo sapiens OX=9606 GN=KPRP PE=1 SV=1, Keratinocyte proline-rich protein OS=Homo sapiens OX=9606 GN=KPRP PE=1 SV=1, Keratinocyte proline-rich protein OS=Homo sapiens OX=9606 GN=KPRP PE=1 SV=1",KPRP,5,1,,,3,,1,10,1,,,3,,2,5,1,,,3,,1,11,1,,,5,,2,177215.85,,,,12115.62,,12888.95,,,,,,
Q6KC79,"Nipped-B-like protein OS=Homo sapiens OX=9606 GN=NIPBL PE=1 SV=2, Nipped-B-like protein OS=Homo sapiens OX=9606 GN=NIPBL PE=1 SV=2, Nipped-B-like protein OS=Homo sapiens OX=9606 GN=NIPBL PE=1 SV=2",NIPBL,,2,7,7,,,,,2,7,7,,,,,2,7,7,,,,,1,3,3,,,,,53082.95,263528.86,256722.63,,,,,,,,,
Q6UB35,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1, Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1, Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1",MTHFD1L,,4,7,4,,,,,4,7,5,,,,,4,7,4,,,,,6,9,4,,,,,13498.59,212602.19,246232.35,,,,,,,,,
Q86SQ0,"Pleckstrin homology-like domain family B member 2 OS=Homo sapiens OX=9606 GN=PHLDB2 PE=1 SV=2, Pleckstrin homology-like domain family B member 2 OS=Homo sapiens OX=9606 GN=PHLDB2 PE=1 SV=2",PHLDB2,,,3,10,,,,,,3,13,,,,,,3,10,,,,,,2,8,,,,,,,628242.46,,,,,,,,,
Q8IZ40,"REST corepressor 2 OS=Homo sapiens OX=9606 GN=RCOR2 PE=1 SV=2, REST corepressor 2 OS=Homo sapiens OX=9606 GN=RCOR2 PE=1 SV=2, REST corepressor 2 OS=Homo sapiens OX=9606 GN=RCOR2 PE=1 SV=2",RCOR2,,3,7,6,,,,,3,7,6,,,,,3,7,5,,,,,4,15,11,,,,,317903.89,609978.65,1051617.62,,,,,,,,,
Q92747,"Actin-related protein 2/3 complex subunit 1A OS=Homo sapiens OX=9606 GN=ARPC1A PE=1 SV=2, Actin-related protein 2/3 complex subunit 1A OS=Homo sapiens OX=9606 GN=ARPC1A PE=1 SV=2, Actin-related protein 2/3 complex subunit 1A OS=Homo sapiens OX=9606 GN=ARPC1A PE=1 SV=2",ARPC1A,,6,4,5,,,,,7,4,5,,,,,6,3,4,,,,,16,13,18,,,,,2444580.16,751533.92,2042316.14,,,,,,,,,
Q92878,"DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1, DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1, DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1",RAD50,,8,5,3,,,,,8,5,3,,,,,8,5,3,,,,,5,3,2,,,,,377622.99,445611.56,273349.27,,,,,,,,,
Q96FS4,"Signal-induced proliferation-associated protein 1 OS=Homo sapiens OX=9606 GN=SIPA1 PE=1 SV=1, Signal-induced proliferation-associated protein 1 OS=Homo sapiens OX=9606 GN=SIPA1 PE=1 SV=1, Signal-induced proliferation-associated protein 1 OS=Homo sapiens OX=9606 GN=SIPA1 PE=1 SV=1",SIPA1,,5,4,5,,,,,7,4,5,,,,,5,4,5,,,,,7,5,6,,,,,68919.03,69058.58,49725.50,,,,,,,,,
Q99986,"Serine/threonine-protein kinase VRK1 OS=Homo sapiens OX=9606 GN=VRK1 PE=1 SV=1, Serine/threonine-protein kinase VRK1 OS=Homo sapiens OX=9606 GN=VRK1 PE=1 SV=1, Serine/threonine-protein kinase VRK1 OS=Homo sapiens OX=9606 GN=VRK1 PE=1 SV=1",VRK1,,2,5,9,,,,,2,5,9,,,,,2,5,9,,,,,6,12,22,,,,,113171.62,561248.03,3134916.67,,,,,,,,,
Q9BZJ0,"Crooked neck-like protein 1 OS=Homo sapiens OX=9606 GN=CRNKL1 PE=1 SV=4, Crooked neck-like protein 1 OS=Homo sapiens OX=9606 GN=CRNKL1 PE=1 SV=4, Crooked neck-like protein 1 OS=Homo sapiens OX=9606 GN=CRNKL1 PE=1 SV=4",CRNKL1,,4,4,7,,,,,5,4,7,,,,,4,4,7,,,,,5,4,8,,,,,121152.97,218867.02,606682.73,,,,,,,,,
Q9NRL3,"Striatin-4 OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=2, Striatin-4 OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=2, Striatin-4 OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=2",STRN4,,1,4,6,,,,,1,6,9,,,,,1,4,6,,,,,1,5,9,,,,,44349.49,126396.96,966077.62,,,,,,,,,
Q9UIG0,"Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2, Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2, Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2",BAZ1B,,3,6,6,,,,,3,6,7,,,,,3,6,6,,,,,2,4,5,,,,,62147.21,245553.62,662366.72,,,,,,,,,
Q9UKN8,"General transcription factor 3C polypeptide 4 OS=Homo sapiens OX=9606 GN=GTF3C4 PE=1 SV=2, General transcription factor 3C polypeptide 4 OS=Homo sapiens OX=9606 GN=GTF3C4 PE=1 SV=2, General transcription factor 3C polypeptide 4 OS=Homo sapiens OX=9606 GN=GTF3C4 PE=1 SV=2",GTF3C4,,6,8,2,,,,,6,8,2,,,,,6,8,2,,,,,8,9,3,,,,,133859.60,1259367.23,84265.36,,,,,,,,,
Q9UN86,"Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens OX=9606 GN=G3BP2 PE=1 SV=2, Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens OX=9606 GN=G3BP2 PE=1 SV=2, Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens OX=9606 GN=G3BP2 PE=1 SV=2",G3BP2,,3,6,4,,,,,3,6,7,,,,,3,6,4,,,,,9,12,10,,,,,149597.23,669917.98,2808246.25,,,,,,,,,
O43293,"Death-associated protein kinase 3 OS=Homo sapiens OX=9606 GN=DAPK3 PE=1 SV=1, Death-associated protein kinase 3 OS=Homo sapiens OX=9606 GN=DAPK3 PE=1 SV=1, Death-associated protein kinase 3 OS=Homo sapiens OX=9606 GN=DAPK3 PE=1 SV=1",DAPK3,,4,5,4,,,,,4,6,5,,,,,3,4,4,,,,,9,9,8,,,,,399926.17,958472.28,991271.86,,,,,,,,,
O75052,"Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein OS=Homo sapiens OX=9606 GN=NOS1AP PE=1 SV=3, Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein OS=Homo sapiens OX=9606 GN=NOS1AP PE=1 SV=3, Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein OS=Homo sapiens OX=9606 GN=NOS1AP PE=1 SV=3",NOS1AP,,5,4,6,,,,,5,4,6,,,,,5,4,6,,,,,8,7,12,,,,,230035.27,47139.66,616077.84,,,,,,,,,
O95573,"Fatty acid CoA ligase Acsl3 OS=Homo sapiens OX=9606 GN=ACSL3 PE=1 SV=3, Fatty acid CoA ligase Acsl3 OS=Homo sapiens OX=9606 GN=ACSL3 PE=1 SV=3, Fatty acid CoA ligase Acsl3 OS=Homo sapiens OX=9606 GN=ACSL3 PE=1 SV=3",ACSL3,,4,4,6,,,,,4,4,7,,,,,2,4,5,,,,,8,6,9,,,,,116577.21,286547.06,550539.14,,,,,,,,,
O95831,"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1, Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1, Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1",AIFM1,,4,8,3,,,,,4,8,3,,,,,4,8,3,,,,,9,17,5,,,,,161995.13,572724.80,347889.23,,,,,,,,,
P05783,"Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2, Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2, Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2",KRT18,,2,2,9,,,,,4,2,9,,,,,1,1,8,,,,,4,4,20,,,,,59255.64,90916.34,1179194.00,,,,,,,,,
P35659,"Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1, Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1, Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1",DEK,,3,4,3,,,,,5,6,4,,,,,3,4,3,,,,,8,12,8,,,,,188540.38,475303.36,1298343.73,,,,,,,,,
P60228,"Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1, Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1, Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1",EIF3E,,4,3,7,,,,,4,3,8,,,,,4,3,7,,,,,11,8,18,,,,,145667.45,190454.11,897750.41,,,,,,,,,
Q13247,"Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2, Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2, Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2",SRSF6,,4,5,5,,,,,4,5,6,,,,,3,4,4,,,,,9,12,11,,,,,1043623.93,2928788.00,6975270.25,,,,,,,,,
Q13576,"Ras GTPase-activating-like protein IQGAP2 OS=Homo sapiens OX=9606 GN=IQGAP2 PE=1 SV=4, Ras GTPase-activating-like protein IQGAP2 OS=Homo sapiens OX=9606 GN=IQGAP2 PE=1 SV=4, Ras GTPase-activating-like protein IQGAP2 OS=Homo sapiens OX=9606 GN=IQGAP2 PE=1 SV=4",IQGAP2,,6,7,2,,,,,6,7,2,,,,,5,6,2,,,,,4,6,2,,,,,168376.87,172258.77,172994.19,,,,,,,,,
Q14498,"RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2, RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2, RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2",RBM39,,4,4,7,,,,,4,4,7,,,,,4,4,7,,,,,8,9,18,,,,,114621.41,160222.79,1088066.36,,,,,,,,,
Q14974,"Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2, Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2, Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2",KPNB1,,4,5,6,,,,,4,5,6,,,,,4,5,6,,,,,5,7,8,,,,,347157.08,387811.61,964897.87,,,,,,,,,
Q15398,"Disks large-associated protein 5 OS=Homo sapiens OX=9606 GN=DLGAP5 PE=1 SV=2, Disks large-associated protein 5 OS=Homo sapiens OX=9606 GN=DLGAP5 PE=1 SV=2, Disks large-associated protein 5 OS=Homo sapiens OX=9606 GN=DLGAP5 PE=1 SV=2",DLGAP5,,5,3,6,,,,,6,3,6,,,,,5,3,6,,,,,7,4,7,,,,,128219.88,147831.31,342971.89,,,,,,,,,
Q16527,"Cysteine and glycine-rich protein 2 OS=Homo sapiens OX=9606 GN=CSRP2 PE=1 SV=3, Cysteine and glycine-rich protein 2 OS=Homo sapiens OX=9606 GN=CSRP2 PE=1 SV=3, Cysteine and glycine-rich protein 2 OS=Homo sapiens OX=9606 GN=CSRP2 PE=1 SV=3",CSRP2,,4,4,6,,,,,4,4,7,,,,,4,4,6,,,,,27,27,40,,,,,349496.52,563217.18,2834673.02,,,,,,,,,
Q8IWX8,"Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens OX=9606 GN=CHERP PE=1 SV=3, Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens OX=9606 GN=CHERP PE=1 SV=3, Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens OX=9606 GN=CHERP PE=1 SV=3",CHERP,,2,5,7,,,,,2,5,8,,,,,2,5,7,,,,,2,5,8,,,,,149379.32,790284.27,1326478.52,,,,,,,,,
Q8N1F7,"Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=2, Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=2, Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=2",NUP93,,4,6,3,,,,,5,7,3,,,,,4,6,3,,,,,4,6,3,,,,,429190.72,1164640.75,1723719.94,,,,,,,,,
Q8N3C0,"Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens OX=9606 GN=ASCC3 PE=1 SV=3, Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens OX=9606 GN=ASCC3 PE=1 SV=3, Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens OX=9606 GN=ASCC3 PE=1 SV=3",ASCC3,,4,5,6,,,,,4,5,6,,,,,4,5,6,,,,,2,2,3,,,,,92111.19,539193.24,380023.25,,,,,,,,,
Q8N5C6,"S1 RNA-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SRBD1 PE=1 SV=2, S1 RNA-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SRBD1 PE=1 SV=2, S1 RNA-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SRBD1 PE=1 SV=2",SRBD1,,5,4,5,,,,,6,4,5,,,,,5,4,5,,,,,5,4,6,,,,,134310.71,166501.47,496992.03,,,,,,,,,
Q8NFW8,"N-acylneuraminate cytidylyltransferase OS=Homo sapiens OX=9606 GN=CMAS PE=1 SV=2, N-acylneuraminate cytidylyltransferase OS=Homo sapiens OX=9606 GN=CMAS PE=1 SV=2, N-acylneuraminate cytidylyltransferase OS=Homo sapiens OX=9606 GN=CMAS PE=1 SV=2",CMAS,,2,5,8,,,,,2,5,8,,,,,2,5,8,,,,,7,16,22,,,,,,320803.98,1050448.31,,,,,,,,,
Q8TED0,"U3 small nucleolar RNA-associated protein 15 homolog OS=Homo sapiens OX=9606 GN=UTP15 PE=1 SV=3, U3 small nucleolar RNA-associated protein 15 homolog OS=Homo sapiens OX=9606 GN=UTP15 PE=1 SV=3, U3 small nucleolar RNA-associated protein 15 homolog OS=Homo sapiens OX=9606 GN=UTP15 PE=1 SV=3",UTP15,,6,6,2,,,,,6,7,2,,,,,6,6,2,,,,,11,11,4,,,,,391893.00,784656.50,183709.91,,,,,,,,,
Q969Q0,"60S ribosomal protein L36a-like OS=Homo sapiens OX=9606 GN=RPL36AL PE=1 SV=3, 60S ribosomal protein L36a-like OS=Homo sapiens OX=9606 GN=RPL36AL PE=1 SV=3",RPL36AL,,,4,5,,,,,,5,10,,,,,,1,5,,,,,,32,34,,,,,,70923.30,6739758.23,,,,,,,,,
Q96FV9,"THO complex subunit 1 OS=Homo sapiens OX=9606 GN=THOC1 PE=1 SV=1, THO complex subunit 1 OS=Homo sapiens OX=9606 GN=THOC1 PE=1 SV=1, THO complex subunit 1 OS=Homo sapiens OX=9606 GN=THOC1 PE=1 SV=1",THOC1,,2,4,9,,,,,2,4,9,,,,,2,4,9,,,,,3,6,14,,,,,29707.37,210558.75,1494198.16,,,,,,,,,
Q9GZL7,"Ribosome biogenesis protein WDR12 OS=Homo sapiens OX=9606 GN=WDR12 PE=1 SV=2, Ribosome biogenesis protein WDR12 OS=Homo sapiens OX=9606 GN=WDR12 PE=1 SV=2, Ribosome biogenesis protein WDR12 OS=Homo sapiens OX=9606 GN=WDR12 PE=1 SV=2, Ribosome biogenesis protein WDR12 OS=Homo sapiens OX=9606 GN=WDR12 PE=1 SV=2",WDR12,1,4,4,5,,,,1,4,4,6,,,,1,4,4,5,,,,2,11,11,15,,,,26050.45,236046.35,412050.77,872608.34,,,,,,,,,
Q9UBP9,"PTB domain-containing engulfment adapter protein 1 OS=Homo sapiens OX=9606 GN=GULP1 PE=1 SV=1, PTB domain-containing engulfment adapter protein 1 OS=Homo sapiens OX=9606 GN=GULP1 PE=1 SV=1, PTB domain-containing engulfment adapter protein 1 OS=Homo sapiens OX=9606 GN=GULP1 PE=1 SV=1",GULP1,,4,3,6,,,,,4,4,7,,,,,4,3,6,,,,,14,16,20,,,,,212445.51,159696.46,1359683.62,,,,,,,,,
Q9UJW0,"Dynactin subunit 4 OS=Homo sapiens OX=9606 GN=DCTN4 PE=1 SV=1, Dynactin subunit 4 OS=Homo sapiens OX=9606 GN=DCTN4 PE=1 SV=1, Dynactin subunit 4 OS=Homo sapiens OX=9606 GN=DCTN4 PE=1 SV=1",DCTN4,,5,6,4,,,,,5,6,4,,,,,5,6,4,,,,,11,15,9,,,,,154821.40,679195.36,1028414.24,,,,,,,,,
Q9Y295,"Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=DRG1 PE=1 SV=1, Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=DRG1 PE=1 SV=1, Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=DRG1 PE=1 SV=1",DRG1,,4,5,4,,,,,5,6,4,,,,,4,5,4,,,,,13,16,13,,,,,196368.65,289501.02,633797.63,,,,,,,,,
Q9Y5Q8,"General transcription factor 3C polypeptide 5 OS=Homo sapiens OX=9606 GN=GTF3C5 PE=1 SV=2, General transcription factor 3C polypeptide 5 OS=Homo sapiens OX=9606 GN=GTF3C5 PE=1 SV=2, General transcription factor 3C polypeptide 5 OS=Homo sapiens OX=9606 GN=GTF3C5 PE=1 SV=2",GTF3C5,,2,6,5,,,,,2,6,7,,,,,2,6,5,,,,,4,13,10,,,,,38065.07,206233.68,303860.93,,,,,,,,,
Q9Y6V7,"Probable ATP-dependent RNA helicase DDX49 OS=Homo sapiens OX=9606 GN=DDX49 PE=1 SV=1, Probable ATP-dependent RNA helicase DDX49 OS=Homo sapiens OX=9606 GN=DDX49 PE=1 SV=1, Probable ATP-dependent RNA helicase DDX49 OS=Homo sapiens OX=9606 GN=DDX49 PE=1 SV=1, Probable ATP-dependent RNA helicase DDX49 OS=Homo sapiens OX=9606 GN=DDX49 PE=1 SV=1",DDX49,1,2,4,7,,,,1,2,4,8,,,,1,2,4,7,,,,2,6,11,21,,,,13685.35,94614.74,540984.98,1563122.51,,,,,,,,,
O14646,"Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2, Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2, Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2",CHD1,,2,8,4,,,,,2,8,4,,,,,1,6,1,,,,,1,4,2,,,,,12906.89,459046.58,69519.29,,,,,,,,,
O15371,"Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1, Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1, Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1",EIF3D,,1,5,8,,,,,1,5,8,,,,,1,5,8,,,,,2,11,18,,,,,16665.19,327641.87,1199526.67,,,,,,,,,
O43776,"Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1, Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1, Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1",NARS1,,1,7,6,,,,,1,7,6,,,,,1,7,6,,,,,1,16,12,,,,,73263.99,522655.38,887533.03,,,,,,,,,
O43809,"Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1, Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1, Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1",NUDT21,,3,6,5,,,,,3,6,5,,,,,3,6,5,,,,,14,28,22,,,,,257804.81,632193.58,1131006.62,,,,,,,,,
O95470,"Sphingosine-1-phosphate lyase 1 OS=Homo sapiens OX=9606 GN=SGPL1 PE=1 SV=3, Sphingosine-1-phosphate lyase 1 OS=Homo sapiens OX=9606 GN=SGPL1 PE=1 SV=3, Sphingosine-1-phosphate lyase 1 OS=Homo sapiens OX=9606 GN=SGPL1 PE=1 SV=3",SGPL1,,2,8,4,,,,,2,8,4,,,,,2,8,4,,,,,5,18,10,,,,,81920.27,595722.62,653506.21,,,,,,,,,
O95758,"Polypyrimidine tract-binding protein 3 OS=Homo sapiens OX=9606 GN=PTBP3 PE=1 SV=2, Polypyrimidine tract-binding protein 3 OS=Homo sapiens OX=9606 GN=PTBP3 PE=1 SV=2",PTBP3,,5,4,,,,,,9,5,,,,,,1,1,,,,,,7,5,,,,,,31850.45,68069.89,,,,,,,,,,
O95793,"Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens OX=9606 GN=STAU1 PE=1 SV=2, Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens OX=9606 GN=STAU1 PE=1 SV=2, Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens OX=9606 GN=STAU1 PE=1 SV=2",STAU1,,2,5,4,,,,,3,7,4,,,,,2,5,3,,,,,4,9,8,,,,,101562.64,900291.38,1294043.40,,,,,,,,,
P04216,"Thy-1 membrane glycoprotein OS=Homo sapiens OX=9606 GN=THY1 PE=1 SV=2, Thy-1 membrane glycoprotein OS=Homo sapiens OX=9606 GN=THY1 PE=1 SV=2, Thy-1 membrane glycoprotein OS=Homo sapiens OX=9606 GN=THY1 PE=1 SV=2",THY1,,3,4,4,,,,,4,4,6,,,,,3,4,4,,,,,24,25,25,,,,,181719.68,468225.41,1633247.07,,,,,,,,,
P04844,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens OX=9606 GN=RPN2 PE=1 SV=3, Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens OX=9606 GN=RPN2 PE=1 SV=3, Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens OX=9606 GN=RPN2 PE=1 SV=3",RPN2,,2,6,3,,,,,2,7,5,,,,,2,6,3,,,,,6,15,8,,,,,24037.28,418232.02,329921.86,,,,,,,,,
P19525,"Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens OX=9606 GN=EIF2AK2 PE=1 SV=2, Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens OX=9606 GN=EIF2AK2 PE=1 SV=2, Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens OX=9606 GN=EIF2AK2 PE=1 SV=2",EIF2AK2,,3,4,5,,,,,3,5,6,,,,,3,4,5,,,,,6,8,10,,,,,82736.80,300098.08,913919.53,,,,,,,,,
P26038,"Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3, Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3",MSN,,,8,6,,,,,,8,6,,,,,,2,1,,,,,,12,9,,,,,,,120451.32,,,,,,,,,
P30153,"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R1A PE=1 SV=4, Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R1A PE=1 SV=4, Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R1A PE=1 SV=4",PPP2R1A,,3,4,5,,,,,3,4,7,,,,,3,4,5,,,,,5,8,9,,,,,72236.13,442016.70,1494430.80,,,,,,,,,
