Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,Abundance 1245818,Abundance 1245819,Abundance 1245820,Abundance 1245821,Abundance 1245822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P28066,Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3,13,2,2,2,26.4,PSMA5,,,20602.58984,73932.48438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,A0A8I5KQE6,Small ribosomal subunit protein uS2B OS=Homo sapiens OX=9606 GN=RPSA2 PE=3 SV=1,7,2,2,2,32.9,RPSA2,43539.58594,122984.2188,230598.2188,42488.02734,33414.44043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P09874,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,3,2,2,2,113,PARP1,,66895.75781,12246.16797,46637.76172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8TAA3,Proteasome subunit alpha-type 8 OS=Homo sapiens OX=9606 GN=PSMA8 PE=2 SV=3,10,2,2,2,28.5,PSMA8,,,82102.79688,336023.3164,7953.453613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5VWG9,Transcription initiation factor TFIID subunit 3 OS=Homo sapiens OX=9606 GN=TAF3 PE=1 SV=1,3,2,2,2,103.5,TAF3,79379.85156,15391.52832,30493.20703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O94906,Pre-mRNA-processing factor 6 OS=Homo sapiens OX=9606 GN=PRPF6 PE=1 SV=1,2,2,2,2,106.9,PRPF6,151844.0703,50787.74023,131231.8906,,20191.93945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P43243,Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2,3,2,2,2,94.6,MATR3,95870.10938,77885.42188,130138.2813,69457.05469,12001.43262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BYJ1,Hydroperoxide isomerase ALOXE3 OS=Homo sapiens OX=9606 GN=ALOXE3 PE=1 SV=1,4,2,2,2,80.5,ALOXE3,,,,119147.6445,4981.190918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07686,Beta-hexosaminidase subunit beta OS=Homo sapiens OX=9606 GN=HEXB PE=1 SV=4,3,2,2,2,63.1,HEXB,,11960.89063,55426.375,276832.5313,15731.96973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O14979,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3,4,2,2,2,46.4,HNRNPDL,63121.39453,31142.39844,73162.97656,26554.44922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P00491,Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2,10,2,2,2,32.1,PNP,,,25665.08398,100587.4219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y3Y2,Chromatin target of PRMT1 protein OS=Homo sapiens OX=9606 GN=CHTOP PE=1 SV=2,12,2,2,2,26.4,CHTOP,96224.07031,100011.8828,180114.2344,107146.9922,24663.40039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13510,Acid ceramidase OS=Homo sapiens OX=9606 GN=ASAH1 PE=1 SV=5,6,2,2,2,44.6,ASAH1,97381.5,,89622.76367,287287.0859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O14776,Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2,1,2,2,2,123.8,TCERG1,92502.58594,19499.99414,45382.22266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P17900,Ganglioside GM2 activator OS=Homo sapiens OX=9606 GN=GM2A PE=1 SV=4,9,2,2,2,20.8,GM2A,,,57413.19922,348286.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7Z5H4,Vomeronasal type-1 receptor 5 OS=Homo sapiens OX=9606 GN=VN1R5 PE=2 SV=2,2,1,11,1,40.8,VN1R5,1459971.125,1041415.813,897491.5625,569677.5,555064.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BQ48,Large ribosomal subunit protein bL34m OS=Homo sapiens OX=9606 GN=MRPL34 PE=1 SV=1,13,1,10,1,10.2,MRPL34,274537.5938,87245.67188,295769.2188,61442.07422,64986.64844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96HU8,GTP-binding protein Di-Ras2 OS=Homo sapiens OX=9606 GN=DIRAS2 PE=1 SV=1,6,1,7,1,22.5,DIRAS2,1383283.375,675435.125,648626.375,373662.125,436157.7813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51553,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3G PE=1 SV=1",3,1,7,1,42.8,IDH3G,2970446.406,1086835.828,6481445,660279,3143558.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NHJ6,Leukocyte immunoglobulin-like receptor subfamily B member 4 OS=Homo sapiens OX=9606 GN=LILRB4 PE=1 SV=3,2,1,7,1,49.3,LILRB4,860705.6875,324153.2813,5094608.891,5736692.031,3745224.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UNZ5,Leydig cell tumor 10 kDa protein homolog OS=Homo sapiens OX=9606 GN=C19orf53 PE=1 SV=1,7,1,7,1,10.6,C19orf53,2113162.5,834218.8125,1003033.438,354912.3125,317687.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P36957,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4",2,1,6,1,48.7,DLST,2338218.75,1178786,1257642.75,932228.375,766293.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,E9PRG8,Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2,11,1,6,1,14.2,C11orf98,106782.6641,155596.4531,80675.16406,93333.92188,57367.62109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61353,Large ribosomal subunit protein eL27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2,6,1,6,1,15.8,RPL27,74598.125,49114.25391,59346.07422,43020.87891,113107.1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O76031,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens OX=9606 GN=CLPX PE=1 SV=2",2,1,6,1,69.2,CLPX,190789.7656,99316.75781,94721.24219,54208.77344,61813.16406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62304,Small nuclear ribonucleoprotein E OS=Homo sapiens OX=9606 GN=SNRPE PE=1 SV=1,12,1,5,1,10.8,SNRPE,75091.10938,41649.41016,152482.4375,131549.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9NRG0,Chromatin accessibility complex protein 1 OS=Homo sapiens OX=9606 GN=CHRAC1 PE=1 SV=1,6,1,5,1,14.7,CHRAC1,1239154.875,666517.4375,638062.625,457188.375,397241.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62854,Small ribosomal subunit protein eS26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3,8,1,5,1,13,RPS26,232242.9844,343718.875,182847.5469,326339.0938,471346.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P29508,Serpin B3 OS=Homo sapiens OX=9606 GN=SERPINB3 PE=1 SV=2,2,1,4,1,44.5,SERPINB3,512766.6875,271868.2813,513987,154286.3438,479799.4063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62917,Large ribosomal subunit protein uL2 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2,4,1,4,1,28,RPL8,93263.30469,91693.72656,92320.85938,115631.7891,63929.82422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q08378,Golgin subfamily A member 3 OS=Homo sapiens OX=9606 GN=GOLGA3 PE=1 SV=2,0,1,4,1,167.3,GOLGA3,455573.375,228912.9219,202913.8125,119197.3359,152938.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,8,1,3,1,39.4,ALDOA,44297.87891,30140.69922,20690.54688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,1,1,3,1,87.3,DDX21,50354.98828,28493.54492,42034.51563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31025,Lipocalin-1 OS=Homo sapiens OX=9606 GN=LCN1 PE=1 SV=1,6,1,3,1,19.2,LCN1,110803.2656,56260.17578,121423.2734,42166.88672,17530.48828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9BY07,Electrogenic sodium bicarbonate cotransporter 4 OS=Homo sapiens OX=9606 GN=SLC4A5 PE=2 SV=2,1,1,3,1,126.2,SLC4A5,485642.7188,190396.25,242600.9219,273390.6875,137372.6094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60506,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2,2,1,3,1,69.6,SYNCRIP,39227.83594,41008.87891,67593.60938,45209.98047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62913,Large ribosomal subunit protein uL5 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2,8,1,3,1,20.2,RPL11,,32373.03125,32527.8457,29498.57422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9Y2I8,WD repeat-containing protein 37 OS=Homo sapiens OX=9606 GN=WDR37 PE=1 SV=2,1,1,3,1,54.6,WDR37,5504237.5,3744524.75,4311963,3842199.5,3528727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NZT1,Calmodulin-like protein 5 OS=Homo sapiens OX=9606 GN=CALML5 PE=1 SV=2,5,1,3,1,15.9,CALML5,76199.86719,37598.98438,590782.125,,28722.88086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46778,Large ribosomal subunit protein eL21 OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=2,9,1,3,1,18.6,RPL21,127788.1484,116446.1797,27528.22266,75360.13281,110989.7656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NW13,RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3,1,1,3,1,85.7,RBM28,89179.14063,81684.08594,16335.17383,27331.05664,10153.69336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P83731,Large ribosomal subunit protein eL24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1,8,1,3,1,17.8,RPL24,209549.375,236312.1094,104095.375,109218.1328,201970.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P09661,U2 small nuclear ribonucleoprotein A' OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2,4,1,3,1,28.4,SNRPA1,114400.75,27737.16797,73989.5,33432.90234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14240,Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=2,2,1,3,1,46.4,EIF4A2,118698.7578,97493.01563,103374.6484,56543.09375,17675.81641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96EK4,THAP domain-containing protein 11 OS=Homo sapiens OX=9606 GN=THAP11 PE=1 SV=2,3,1,3,1,34.4,THAP11,99005.33594,65546.6875,84214.125,54603.94531,10821.91699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15717,ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2,3,1,3,1,36.1,ELAVL1,75960.96875,103305.8047,156555.5781,73516.63281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q8NFZ5,TNFAIP3-interacting protein 2 OS=Homo sapiens OX=9606 GN=TNIP2 PE=1 SV=1,2,1,3,1,48.7,TNIP2,287424.125,178442.3594,201941.5781,132253.2188,142391.9844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P47914,Large ribosomal subunit protein eL29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=2,9,1,3,1,17.7,RPL29,,31532.24219,,,60041.03906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,A0A087WW87,Immunoglobulin kappa variable 2-40 OS=Homo sapiens OX=9606 GN=IGKV2-40 PE=3 SV=2,11,1,2,1,13.3,IGKV2-40,148143.9844,76639.3125,,,25768.55664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P13473,Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens OX=9606 GN=LAMP2 PE=1 SV=2,2,1,2,1,44.9,LAMP2,,13055.51172,25479.82031,125099.5859,9976.213867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UI42,Carboxypeptidase A4 OS=Homo sapiens OX=9606 GN=CPA4 PE=1 SV=2,2,1,2,1,47.3,CPA4,58086.76172,,101361.4766,195206.6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IWZ3,Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKHD1 PE=1 SV=1,0,1,2,1,269.3,ANKHD1,,157208.7188,11017.30469,344668.875,126648.3594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y6M1,Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens OX=9606 GN=IGF2BP2 PE=1 SV=2,2,1,2,1,66.1,IGF2BP2,,24588.07617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P39019,Small ribosomal subunit protein eS19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2,7,1,2,1,16.1,RPS19,90092.55469,89319.32813,132778.1563,125362.0469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04792,Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2,5,1,2,1,22.8,HSPB1,20820.81055,19606.77344,33677.09766,35088.64844,11425.70508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12824,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 OS=Homo sapiens OX=9606 GN=SMARCB1 PE=1 SV=2,3,1,2,1,44.1,SMARCB1,259473.8281,,50603.86328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P36406,E3 ubiquitin-protein ligase TRIM23 OS=Homo sapiens OX=9606 GN=TRIM23 PE=1 SV=1,1,1,2,1,64,TRIM23,,,,,99166.80469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P00966,Argininosuccinate synthase OS=Homo sapiens OX=9606 GN=ASS1 PE=1 SV=2,2,1,2,1,46.5,ASS1,180813.4844,111392.7188,142110.8281,102485.6484,77091.99219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q96GC5,Large ribosomal subunit protein mL48 OS=Homo sapiens OX=9606 GN=MRPL48 PE=1 SV=2,6,1,2,1,23.9,MRPL48,171135.4844,83980.47656,75186.14844,,30169.49414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q14956,Transmembrane glycoprotein NMB OS=Homo sapiens OX=9606 GN=GPNMB PE=1 SV=2,2,1,2,1,63.9,GPNMB,,35252.62891,136786.4688,258223.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14031,Collagen alpha-6(IV) chain OS=Homo sapiens OX=9606 GN=COL4A6 PE=1 SV=3,1,1,2,1,163.7,COL4A6,128314.6563,9398.103516,39128.95703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86XJ1,GAS2-like protein 3 OS=Homo sapiens OX=9606 GN=GAS2L3 PE=1 SV=1,2,1,2,1,75.2,GAS2L3,119057.9063,11820.38281,49097.90234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62753,Small ribosomal subunit protein eS6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1,5,1,2,1,28.7,RPS6,,34438.43359,18682.71094,17044.53516,34534.41797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75608,Acyl-protein thioesterase 1 OS=Homo sapiens OX=9606 GN=LYPLA1 PE=1 SV=1,5,1,2,1,24.7,LYPLA1,19326.1543,,57850.41016,221453.7031,15890.46484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13123,Protein Red OS=Homo sapiens OX=9606 GN=IK PE=1 SV=3,2,1,2,1,65.6,IK,106609.4844,24057.3125,40141.48047,26709.60938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49721,Proteasome subunit beta type-2 OS=Homo sapiens OX=9606 GN=PSMB2 PE=1 SV=1,5,1,2,1,22.8,PSMB2,,,37520.37109,151640.4219,8216.628906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P46779,Large ribosomal subunit protein eL28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3,5,1,2,1,15.7,RPL28,,138717.8281,102585.9063,250279.7969,464158.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13823,Nucleolar GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=GNL2 PE=1 SV=1,2,1,2,1,83.6,GNL2,198629.9375,75492.14063,54271.84766,,14060.48535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q6ZRR7,Leucine-rich repeat-containing protein 9 OS=Homo sapiens OX=9606 GN=LRRC9 PE=2 SV=2,0,1,2,1,166.8,LRRC9,221315.1875,86421.26563,115915.4297,184803.5625,102750.0547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60547,"GDP-mannose 4,6 dehydratase OS=Homo sapiens OX=9606 GN=GMDS PE=1 SV=1",2,1,2,1,41.9,GMDS,80725.21094,46467.41797,36950.24219,25250.86914,23561.49414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H0E2,Toll-interacting protein OS=Homo sapiens OX=9606 GN=TOLLIP PE=1 SV=1,3,1,2,1,30.3,TOLLIP,,,61310.49609,85121.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,A8K2U0,Alpha-2-macroglobulin-like protein 1 OS=Homo sapiens OX=9606 GN=A2ML1 PE=1 SV=3,1,1,2,1,161,A2ML1,,,31806.61328,88121.61719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q17RC7,Exocyst complex component 3-like protein 4 OS=Homo sapiens OX=9606 GN=EXOC3L4 PE=1 SV=2,1,1,2,1,79.8,EXOC3L4,266937.2188,80633.78906,89197.30469,,63266.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P84103,Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1,5,1,2,1,19.3,SRSF3,98876.98438,32853.13672,36202.4375,51188.89453,4867.42041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P55081,Microfibrillar-associated protein 1 OS=Homo sapiens OX=9606 GN=MFAP1 PE=1 SV=2,3,1,2,1,51.9,MFAP1,105163.7656,32536.39063,61323.33203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14980,Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2,1,1,2,1,238.1,NUMA1,,110368.4531,,60384.44141,15539.56152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62826,GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3,5,1,2,1,24.4,RAN,112614.1328,93844.34375,109257.2109,60564.51953,20623.14258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13838,Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1,2,1,2,1,49,DDX39B,,98890.80469,164729,94908.84375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q08211,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,1,1,2,1,140.9,DHX9,,22344.91406,20713.38867,19326.86523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q969L2,Protein MAL2 OS=Homo sapiens OX=9606 GN=MAL2 PE=1 SV=1,6,1,2,1,19.1,MAL2,,,,394456.9688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75635,Serpin B7 OS=Homo sapiens OX=9606 GN=SERPINB7 PE=1 SV=1,3,1,1,1,42.9,SERPINB7,80162.91406,55136.20313,71952.85938,349882.8125,24616.91211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9NW64,Pre-mRNA-splicing factor RBM22 OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1,2,1,1,1,46.9,RBM22,123778.375,35599.96094,87272.20313,57104.39063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49720,Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2,3,1,1,1,22.9,PSMB3,,18601.43555,35205.33203,153978.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92542,Nicastrin OS=Homo sapiens OX=9606 GN=NCSTN PE=1 SV=2,2,1,1,1,78.4,NCSTN,,11118.47852,,37351.49219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,O75131,Copine-3 OS=Homo sapiens OX=9606 GN=CPNE3 PE=1 SV=1,1,1,1,1,60.1,CPNE3,,,19913.6543,83653.19531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P09668,Pro-cathepsin H OS=Homo sapiens OX=9606 GN=CTSH PE=1 SV=4,2,1,1,1,37.4,CTSH,,,,168913.2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P29375,Lysine-specific demethylase 5A OS=Homo sapiens OX=9606 GN=KDM5A PE=1 SV=3,1,1,1,1,192,KDM5A,90721.5625,19689.74219,41471.77734,8942.896484,5051.592285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11279,Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens OX=9606 GN=LAMP1 PE=1 SV=3,3,1,1,1,44.9,LAMP1,,48210.71484,112565.5938,456119.5,16577.26367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P25391,Laminin subunit alpha-1 OS=Homo sapiens OX=9606 GN=LAMA1 PE=1 SV=2,0,1,1,1,336.9,LAMA1,,,,71554.42188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IWX8,Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens OX=9606 GN=CHERP PE=1 SV=3,1,1,1,1,103.6,CHERP,91079.36719,,64296.47266,39990.59766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P20618,Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2,8,1,1,1,26.5,PSMB1,,,,49939.39844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9HB40,Retinoid-inducible serine carboxypeptidase OS=Homo sapiens OX=9606 GN=SCPEP1 PE=1 SV=1,2,1,1,1,50.8,SCPEP1,,,,104314.8984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P29400,Collagen alpha-5(IV) chain OS=Homo sapiens OX=9606 GN=COL4A5 PE=1 SV=2,1,1,1,1,160.9,COL4A5,247913.5469,5716.691406,42500.88281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P14735,Insulin-degrading enzyme OS=Homo sapiens OX=9606 GN=IDE PE=1 SV=4,1,1,1,1,117.9,IDE,,11035.4502,13650.03516,77602.45313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9UJQ4,Sal-like protein 4 OS=Homo sapiens OX=9606 GN=SALL4 PE=1 SV=1,1,1,1,1,112.2,SALL4,184168.7656,19669.35938,130999.2578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96KM6,Zinc finger protein 512B OS=Homo sapiens OX=9606 GN=ZNF512B PE=1 SV=1,2,1,1,1,97.2,ZNF512B,75915.3125,,19759.35547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,0,1,1,1,532.1,DYNC1H1,148861.9375,71867.375,63227.46484,59237.32422,66901.30469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
